PetID,PetType,AgeMonths,Color,Size,WeightKg,Vaccinated,HealthCondition,TimeInShelterDays,AdoptionFee,PreviousOwner,AdoptionLikelihood
500,0,121-180 months,Orange,0,0.13878283289209364,1,0,Short Stay,0.280561122244489,0,0
501,3,61-120 months,White,0,0.5200091525125838,0,0,Very Short Stay,0.47094188376753504,0,0
502,2,121-180 months,Orange,1,0.036514221335100065,0,0,Long Stay,0.7715430861723446,0,0
503,0,61-120 months,White,2,0.0801045939366328,0,0,Long Stay,0.4348697394789579,1,0
504,3,121-180 months,Gray,0,0.6722439397453783,0,0,Short Stay,0.028056112224448895,1,0
505,2,61-120 months,Brown,0,0.6890901935000254,0,0,Long Stay,0.6032064128256512,1,0
506,0,121-180 months,Brown,2,0.3411073643391015,1,0,Long Stay,0.8817635270541081,1,0
507,1,13-24 months,Orange,0,0.21514969362751077,1,0,Very Short Stay,0.2745490981963928,0,1
508,0,25-60 months,Brown,1,0.8137160466595107,1,1,Long Stay,0.8116232464929859,0,0
509,0,25-60 months,Gray,0,0.21664432108126633,0,0,Long Stay,0.4629258517034068,1,0
510,0,121-180 months,Orange,0,0.5418212374129763,0,0,Very Short Stay,0.17635270541082163,0,0
511,3,1-6 months,White,2,0.9683349523520438,1,0,Long Stay,0.9258517034068136,0,1
512,2,121-180 months,Brown,0,0.14733959153343998,1,0,Very Short Stay,0.15230460921843686,1,0
513,1,25-60 months,Black,0,0.940981090234984,1,0,Very Short Stay,0.27054108216432865,0,0
514,1,121-180 months,Brown,1,0.18240749911527598,1,0,Short Stay,0.8096192384769538,0,1
515,3,121-180 months,White,2,0.5672571718490049,1,0,Short Stay,0.937875751503006,1,0
516,1,7-12 months,Orange,2,0.37667334970501876,1,1,Long Stay,0.8116232464929859,1,0
517,1,25-60 months,White,1,0.9650521580836372,1,0,Short Stay,0.21843687374749496,0,1
518,3,61-120 months,Black,0,0.27312707957075183,1,1,Very Short Stay,0.7054108216432865,1,0
519,2,25-60 months,Gray,2,0.39934128165198013,0,1,Very Short Stay,0.6012024048096192,0,0
520,3,121-180 months,Brown,2,0.9829976409065887,1,0,Medium Stay,0.18036072144288576,0,0
521,1,25-60 months,Orange,0,0.5362602309586646,0,0,Long Stay,0.8476953907815631,1,0
522,2,1-6 months,Gray,0,0.5023935979344168,1,0,Medium Stay,0.7394789579158316,1,1
523,2,61-120 months,White,2,0.2573512608926108,1,0,Medium Stay,0.8116232464929859,0,0
524,0,61-120 months,Orange,0,0.7012818317954015,1,0,Short Stay,0.8276553106212424,0,0
525,0,121-180 months,Gray,2,0.013756141170776878,1,0,Short Stay,0.3787575150300601,0,0
526,1,121-180 months,Orange,0,0.04892318862864758,1,0,Short Stay,0.1442885771543086,0,0
527,3,1-6 months,Black,0,0.5991974091584866,1,1,Long Stay,0.344689378757515,0,0
528,3,61-120 months,Black,1,0.34131269134940534,0,0,Medium Stay,0.06813627254509018,0,0
529,3,25-60 months,Brown,0,0.9534308842691067,0,1,Long Stay,0.4188376753507014,0,0
530,0,61-120 months,Brown,1,0.9032661609842854,1,0,Very Short Stay,0.595190380761523,0,1
531,1,25-60 months,Black,0,0.7136341436218518,1,1,Long Stay,0.26452905811623245,0,0
532,0,61-120 months,Orange,2,0.8181548115971001,1,0,Short Stay,0.565130260521042,1,0
533,1,7-12 months,Black,2,0.667223614590995,1,0,Long Stay,0.3947895791583166,0,1
534,3,121-180 months,Brown,0,0.1250519104999575,1,0,Medium Stay,0.8917835671342684,0,0
535,0,25-60 months,Black,0,0.7655116294363566,0,0,Long Stay,0.06212424849699398,1,0
536,3,25-60 months,Black,2,0.20972767729905012,1,0,Long Stay,0.27054108216432865,1,0
537,3,61-120 months,Orange,0,0.32306677234067727,0,0,Medium Stay,0.4949899799599198,0,0
538,2,25-60 months,Gray,1,0.819244290482785,1,0,Very Short Stay,0.7174348697394789,0,1
539,2,25-60 months,Brown,1,0.5363154911711235,0,0,Short Stay,0.6813627254509017,1,0
540,0,25-60 months,Orange,1,0.8599824979757832,1,0,Long Stay,0.29058116232464926,0,1
541,2,61-120 months,Black,1,0.21257324304801878,0,0,Long Stay,0.6673346693386772,1,1
542,0,121-180 months,Black,1,0.607623818669351,1,0,Short Stay,0.28456913827655306,0,1
543,1,121-180 months,Gray,0,0.08322823013275038,1,1,Short Stay,0.4669338677354709,0,0
544,2,25-60 months,Brown,0,0.642933854419653,1,0,Medium Stay,0.8196392785571142,0,0
545,1,121-180 months,Brown,1,0.7624999536192995,1,0,Very Short Stay,0.8737474949899798,1,1
546,2,7-12 months,White,0,0.5847584785839783,1,1,Very Short Stay,0.08617234468937875,1,0
547,2,121-180 months,Brown,0,0.2658108580562352,1,0,Very Short Stay,0.06212424849699398,0,0
548,3,121-180 months,Gray,1,0.030739075596619946,1,0,Short Stay,0.4609218436873747,0,1
549,3,121-180 months,White,0,0.11891391472296131,0,0,Medium Stay,0.05410821643286573,0,0
550,0,121-180 months,White,0,0.6221596719861875,1,0,Very Short Stay,0.845691382765531,0,0
551,3,1-6 months,Black,0,0.9345200111048942,0,0,Short Stay,0.9819639278557113,1,0
552,0,121-180 months,Black,1,0.20606726375431988,0,0,Medium Stay,0.3186372745490982,0,0
